
105423.26959, 3,   0.121,  0.163,  9.817, 4,  -0.000,  0.001,  0.000, 5, -20.691, -4.502, -7.174
105423.34025, 3,   0.122,  0.168,  9.823, 4,  -0.000,  0.001,  0.000, 5, -20.691, -4.490, -7.125
105423.41095, 3,   0.125,  0.157,  9.832, 4,  -0.000, -0.000, -0.000, 5, -20.703, -4.477, -7.149
105423.48163, 3,   0.123,  0.161,  9.817, 4,  -0.000, -0.000,  0.000, 5, -20.703, -4.514, -7.003
105423.55233, 3,   0.125,  0.150,  9.841, 4,   0.001,  0.001,  0.001, 5, -20.716, -4.514, -7.015
105423.62300, 3,   0.126,  0.159,  9.801, 4,  -0.001,  0.000,  0.000, 5, -20.752, -4.526, -6.966
105423.69369, 3,   0.117,  0.158,  9.822, 4,   0.000,  0.001, -0.001, 5, -20.752, -4.587, -6.942
105423.76439, 3,   0.122,  0.156,  9.832, 4,   0.000,  0.000,  0.000, 5, -20.691, -4.575, -6.930
105423.83506, 3,   0.116,  0.162,  9.813, 4,  -0.000, -0.000,  0.000, 5, -20.655, -4.599, -6.893
105423.90576, 3,   0.119,  0.162,  9.826, 4,   0.000,  0.001,  0.000, 5, -20.642, -4.612, -6.893
